Country Name,Country Code_x,Indicator Name_x,Indicator Code_x,year,GDP,GDP_growth,Country Code_y,Indicator Name_y,Indicator Code_y,Inflation
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18635682981.7093,,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.72881355932203
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6624086313.14334,,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.94574935198645
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11810619368.3874,,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.299467254769695
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442815.821186,,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.78816199376883
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,377020202.020202,,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.5331525756195
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40563768946.9503,,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.35869565217392
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,10412232620.5258,,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.43879470321092
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152976.63904,,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.81407628204986
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855,,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.790205817960074
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,84619845881.2608,,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.53661234295201
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,6361166544.50349,,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.25523012552923
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0,,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-3.56219179976055
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069464937.19791,,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.67659912611285
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,4206270352.22633,,EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.332829047091752
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,251618036413.213,,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.74118084746923
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12424514013.7604,,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.17777108409632
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,285151593517.865,,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.74118084746923
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5279481824.12983,,FIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.41812725350792
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,61959085885.3427,,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.13993575518437
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233967692.1028,,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.00357570390172
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4274890306.82895,,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.47784758493376
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0,,GTM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.19069315346
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,475650000.0,,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.74623815710751
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187200.0,,HTI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-5.03004159593691
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883876.1839,,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.77987784677382
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1998550221.80554,,IRL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.450837269431776
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134389.9037,,IRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.82241081297867
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1537252193.09912,,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.47823790409599
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,260984498.826389,,ISL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.98839723902034
